"user_id","u_average_stars","u_votes_funny","u_votes_useful","u_votes_cool","u_review_count"
"__klNeffo7Qjcbwoj65Guw",2,0,1,0,1
"_4c3Aqs5vtGH5e4fGSYWpw",5,0,0,0,1
"_4jCSPg-swQsi8Cx_gO2OA",3.80952380952381,10,17,12,21
"_75QFdgFVhM_gRdQljn6UQ",5,0,1,0,1
"_78xbAvRCtpPlsL9qHGc6Q",3,0,0,0,1
"_8jXfVy20FGWHrJqtT4gdQ",5,2,1,1,2
"_bEVodhxux43TQ96n24VCQ",2,0,2,0,3
"_bPvjH49rPXO3xT88cYn4w",4,0,0,0,1
"_F3Wl3UEkyCdZYBuIEiNWQ",4.22222222222222,0,1,1,9
"_G7BBK0ZAZDYd8K3imm-iA",4,0,0,1,1
"_gyEXoJ-vGesDaG1AFTDAg",2.5,2,7,1,2
"_h8xgDlbQyHkB_6gx3ExWA",1,0,0,0,1
"_I0T-zPvvjHu_YWJnyaEqQ",4.33333333333333,1,4,1,3
"_j__WoLmVsfPkeuwZ0UkmQ",4,1,2,2,4
"_KclwnZuxJedfE0J7uX0VA",4,1,1,1,1
"_kJ8FSMfjl-dYzsRmtJ2oA",5,0,0,0,1
"_Kvu5KLoASeTeCxwbZb_-Q",5,0,2,0,2
"_mJCXFvtOHd0bYaURWdDqg",5,0,0,0,1
"_nmNCtMolXj_i2cCIY9ZSg",2.5,0,1,0,2
"_nnCf6aFD-KK3ErCnMFl_A",1,1,1,0,2
"_NvRvA8CB-Asaro1PQLEzw",4.75,0,2,1,4
"_o7sGqZBMvxf37VHxuclVg",4,0,0,0,1
"_OnZ6Yxo6SauHbUjZBEMYg",5,1,1,1,1
"_PI948oLmcKULPLRdlyuEg",1,0,1,0,2
"_PrMbW8gLcU8R3aUzJ9Skg",5,0,0,0,1
"_QgVVjL1TloY5JTqfhCRMQ",4,21,27,22,4
"_qR3ChZe37I70xp2b78Ojw",4,2,4,3,2
"_QS138Qw5fZh57QD8J3-9A",4,0,0,0,2
"_qT3bYTRwfaoJ9fForuFpg",4.28571428571429,4,9,3,14
"_r0qN1Y7PIg6l8RnTqZBEw",3.66666666666667,1,4,2,6
"_sewl5zzx9PMjhX8NjBngA",3.66666666666667,0,4,0,3
"_SNWq21H2vn0za-339G4jQ",4,1,0,0,1
"_Ssbz8viI2ZgHgvBWy1wTw",3.25,7,14,5,4
"_T9GcY3clFkz90Qso4ZuDg",4.5,0,5,1,2
"_UeQGHJJ6usLBdHd5TBuMQ",3,0,0,0,1
"_y4Pa5ZFpz4ycpqevBr-gw",3.75,1,4,0,4
"_yplQuwYGy2BT7Jb0GkfUQ",4.5,0,5,0,4
"_yqP4toRN5YqV_22re2ixw",3,0,0,0,1
"_zOvg6VVGA8_PAg-013BSA",3.25,3,14,5,28
"-0b8gEy62r6bHDaaCHWyVA",5,0,0,0,1
"-4gBNDCEv6qTm55abgHxCQ",5,0,0,0,1
"-7LfdqX286W8zJ01ljY_SQ",4,9,17,9,40
"-80hvfhwF2PdPWitXOGLng",3,0,0,0,1
"-896HwNelQJLFZUqW81Hsw",5,0,0,0,2
"-AOinMZ5MAIVqqfWO5UPTg",1.88888888888889,4,9,3,9
"-F8z6JmU5-601IC0QFtJLA",5,2,4,1,1
"-FiCSCiO6FJf38UG-4SsDg",3,0,0,0,1
"-fVuUmA8BbcgU7j3gqlvAQ",4,0,1,0,1
"-go3WeXZo98OkgqdSwCExw",4,0,0,0,1
"-gtB4YZ1lUES-OeJ9QrufA",3.8,1,1,0,5
"-h_6B4Z0m_1-NXngMoxP0w",4.5,0,2,1,2
"-hG9sBYkGRMjWPS08GzChQ",2.25,0,13,10,4
"-il5mwq7l0kcPHfCSLUVHA",3.8,1,3,2,5
"-irf3e8OmP_kPdD6R9aHKg",4,0,0,0,1
"-L0bSNfErGer1UCEa6D4PA",2.88235294117647,30,36,17,51
"-m6IHrZUctCG3vgTie3WTQ",2.5,3,3,2,2
"-MtZmWyA9KfgMYa4WWz22A",4,0,1,0,2
"-NtKVp1_sGpgVQkaFSO7SA",2,0,0,0,1
"-oXSp9H4U81e189kepgMCQ",3,0,5,0,3
"-pbA-jzNK5svK5DKEgv9Mg",3,0,0,1,1
"-rwvyAgeaE_MrIoK5hr2-A",5,0,0,0,1
"-rXESVt_Jgz5MDd5oX3dRw",3,3,7,3,5
"-twH-2L0l6AOlTDdp01wuw",3.82608695652174,4,13,8,23
"-UFyjmPUAnSLG6qGzAfMXw",4.17647058823529,2,8,5,17
"-v746IX7SI_YVQZ6B0D7dg",2,0,5,2,1
"-vi9ERTjcdvwY9cUHihLIw",3.6,4,13,7,15
"-Wa5j14Rhps3DC2SMaaatQ",3.84126984126984,5,36,9,63
"-Yia1Lmcq8fAY0goNsIrAQ",3.5,0,2,0,2
"-z6sTe2ejLXZx-Ylq5CFEw",5,0,0,0,1
"-ZMYfx_v9bfgHdlktYKR8w",2,0,0,0,1
"-zPnreNEr_YLwBf-Tw5HGA",4,0,2,0,4
"0_Dpf_CmOIoHackDgNfyXA",4,0,0,0,1
"0-PeU2TfwTo_j64X9b26ig",4.5,1,2,0,4
"02GMDKso6dqshbBGe2iCzg",5,0,1,0,1
"02pxS_9Nllhr38-pX5yuWQ",1,0,7,0,1
"03hPUAMxzz60F-LlF7FMBA",2,0,0,0,2
"03TD4fTaMdYjkEcE4GuM3g",4,1,1,1,2
"06g-gOtLHg-WG2-5i4aT_g",3,3,6,2,19
"09rOSu_0O1T0m9y9Soe39A",4.33333333333333,0,4,2,3
"0A3qFIJ6DyTUZpuuG4UkFw",4.5,0,0,0,2
"0AZPm9X5V-and7oT-Lbtwg",4.2,0,6,0,5
"0Betmnrp8P6JqhNnTqDCRg",4,0,1,0,2
"0CMz8YaO3f8xu4KqQgKb9Q",3.97612732095491,451,803,684,377
"0cRDjTY4ChwCKXPIjER6nQ",5,0,2,0,1
"0cwi-Haoc48Xgv3H0eiFQA",3.2,5,12,3,10
"0EFP4Y1AmNmf6M40ZAiJ3g",1,0,2,0,2
"0GUDG44DYEgwfAZ18Krkkw",5,0,0,0,1
"0Gx2Pjcpaa3XmUDyfJqLpQ",5,0,0,0,4
"0I5bCtHHGZsMvE8QqrtlgA",5,2,2,1,1
"0lxf4v5NuJ1U6Bk7SGAJ5w",3.73076923076923,335,616,489,130
"0mqHhdKEdak_A1FBhFNXqA",3.51428571428571,68,128,27,245
"0n2jq7LIPQOzs74kPLCDng",3,2,2,2,4
"0o6p_q3ntJs9iP4wgH4RvA",3.71428571428571,0,0,0,7
"0O8zLqElJsR9yOmvcMsInA",3.44444444444444,2,4,3,9
"0piFSvCKD4DygzQzewzdoA",4,2,8,3,21
"0PryyXJBhnVmCLvbluMsUQ",5,0,1,1,2
"0PTxYeiZpCmr9Lj9sOJVLg",1,0,0,0,1
"0QxbEvjT5D3dWikIsUu6Rw",3.27272727272727,27,34,19,11
"0RT1rUBvRLtvEwr4OYlArg",5,0,0,0,1
"0uJj6eoJgWt0xhOH-Xklew",4,0,1,1,2
"0VaL50rT2zkSk3pK3cTlCA",3.73684210526316,4,5,1,19
"0VNNqpD687meEu70X5knNw",3.5,1,3,0,8
"0VTZOBAwjW42u1ZipXxBfQ",2,0,0,0,1
"0wNFzxEof0RDrWPLjDlwZg",3.0625,8,15,3,16
"0z0cJNWzs8jPrS13xqRu9w",5,0,1,1,1
"1_3k0SfgMEU21xcg9o_RmQ",4.33333333333333,0,8,2,3
"1_sCp6RMJ6o1P8uUEWZu5w",4.5,0,0,0,2
"1-qyADoV_Zvwtpaewqqkng",4,0,2,0,2
"11H_4vCUJjQ4KpV04lc3mQ",3,0,0,0,2
"14n1Y_A_S-8tHWqurAW8wQ",3.18181818181818,1,6,4,11
"14VfoAR-w0Rqzg3qRIFTeg",3,0,0,0,3
"17gsCuBxVzxISGAPrG9-vw",1,0,2,0,4
"17i_YNAJmcKUD385qHS8Uw",3.66666666666667,0,1,1,3
"18oyzsHvqIBDP4rOp9_RIw",3.6,0,1,0,5
"1ajv7CEuzebjrv7X-iwTmw",4.09090909090909,0,10,3,11
"1DSEZOEk5uoy71Ri64cpOg",5,1,1,0,1
"1evjebOj7UEAhSm50WNwUQ",4,0,2,0,1
"1fHgJ_OrMbqgpZxgp-8yYQ",5,0,0,0,1
"1G8lqcSaUNfC45ug3vLxqw",4,1,2,1,1
"1Ge4YW-QzFDd4xqFNrPEbQ",3.84,15,21,12,25
"1h7jWeQlU230LWt7DZ3_Jw",3.66666666666667,2,4,2,3
"1K2CINUsqQr27b0m4ov8qA",2,0,1,0,1
"1kDUQZY0FQ6qyCSTR3hGpg",4,1,14,8,13
"1kHfnO2o66xy_t0LZMqHsQ",1,0,1,0,1
"1np8m00IO1XCsW5N8Z_72A",4.75,0,1,0,4
"1oc5ZlsGwMvpgPxs2yURpg",3.81818181818182,5,8,0,11
"1rOkpAYu89Hx2lwhnn52Mw",4.16666666666667,0,2,1,6
"1Sa31YHwvF0SNczJXqtu-A",1,0,4,0,1
"1SoSqWcWZINy1mvdTdTvNA",3.15384615384615,1,5,0,13
"1TR5sVObjtl50H2hBHO-sw",4,0,0,0,3
"1UtwA7ItsNQWsBnPGhLoqQ",4.5,0,2,0,2
"1VLDqDrvx7ZPI9qlXrU9lw",3,0,0,0,1
"1vPPixbJ-ZdTQsDBFmOjWQ",3,0,0,0,1
"1WriFmPd3h0-L45cCDzrVw",4,0,1,0,2
"1Xt3qdnMbHwqIefVShS1sg",4,0,0,0,1
"1zonB8p_lkW-sIz8YNwtDg",4.07692307692308,2,13,2,13
"1zXZ89SgL4WTRuUDdZI2vA",2,0,1,0,1
"2_31RaL6kz0vRQX41g9iXw",3.66666666666667,11,35,24,12
"2_tgljUc56H_jZ3magFkag",2,1,2,1,2
"2-TcM7Ywl3rtCvfBOguPsQ",4.75,1,5,4,4
"2-ukE2slBDVllwblxkPUiQ",1,0,0,0,1
"24Cr07o6M0n6Kod20dOMIQ",4.75,1,3,3,4
"2ARM6NFVciTzV21r7p8jiw",3.11538461538462,3,17,8,26
"2Efi9Xvl-I5-Eg674NGP_w",5,0,0,0,1
"2fXa7GKrwQvQszQ_sdLN6g",1,0,1,1,1
"2HLkrJcWPg1ojZTRqjyH4g",1,0,0,0,1
"2JXJpZ3vm9lQAB_iEhMn1g",3.5,0,1,3,2
"2lvfBteL5ny4CBjNIk9Mwg",3.75,1,7,3,12
"2MPGdIbaaEdKuW9IpPxHfw",3.65789473684211,6,29,6,38
"2NgGL6UtPlth_ffoNkD-Pg",1,0,0,0,1
"2smwupUoisUA_pGUoqrznQ",5,0,0,0,1
"2tgppETslah6QdEu5hjodw",3.4,2,1,0,5
"2tX_cavnOb4p_cPdTEXh7g",2,0,0,0,1
"2u74hsdevofxQxmhZBtvUQ",5,1,3,2,1
"2XywCcUKE2ofgSYMqrDirw",5,0,0,0,1
"2y3LWFfyRp02EdjwcVv7sw",3.29166666666667,9,26,11,24
"2yqvGD7-gF3yHUZvNM93qw",1.6,3,3,1,5
"2zsQosSiOFMaXhVTldgI4g",4,0,0,0,1
"318bjHL6yRQIo4hy4DzRPw",3.875,18,18,10,16
"35t6W0ePyfAXAnvB0OQWOw",3,0,1,0,1
"370JyOQfFcPSB9_jk641gA",3.66666666666667,0,2,0,6
"37UFAkFO0kyHSr363EdKWA",3.28571428571429,1,9,0,7
"3axRANadusjvU5fQFC0gaw",3,0,0,0,1
"3B19Aj5HbzE4GVboUedE2w",5,0,0,0,1
"3BtjfU6rCeizjPU10z29vA",4.33333333333333,0,1,1,3
"3F2x3YKSH6RbNDotS-VxfA",4.33333333333333,1,4,4,6
"3fwbds_Au5EfN9v0E5EH7w",5,0,0,0,1
"3Gi--CpYPhLw3s6N7plwoA",3.2,2,1,0,5
"3hrz4kkvfMfmoD4oiI3FrA",5,0,1,0,1
"3jEkLEgursfeYjnJQUGmJg",5,0,2,2,1
"3mrGe3ccz1VaHQFChwcMyg",3,1,0,0,2
"3oL01--2sfZXzRwOJMkAXw",4,0,0,0,1
"3qSuZqHhixLERnGy0Xus_g",4.25,0,6,0,4
"3quyjmLWJZYqJkKFCTeLHg",5,0,0,0,1
"3r2T810jY4QbQwszIaf7AQ",3.66666666666667,2,6,0,6
"3RpaZ97DNS2q8VOVCbTZog",5,0,0,0,1
"3wiMAs5-tiG9jbfhC2EUuQ",3,0,0,0,1
"3xsG2rgSHfY3J7PWfMFsow",3,0,0,0,1
"3yr2mU8TyXAnGXokKpobKw",5,0,0,0,1
"3yubg7lo95ETTjMcWrilSw",5,0,2,1,3
"3zAueIS5hxk0Z_hGF1EqQA",5,0,0,0,1
"4-5tKXVbnCEy9NTlufj3pA",5,0,0,0,1
"4-HMi76m6TpJrZ0G-xL1CA",2.42857142857143,2,11,3,7
"4-vglegfrkTzVE1R6jB4dQ",3,0,0,0,1
"41ef96QJZr7JanDhgljJUg",5,0,0,0,1
"41fHPPYJenIE-s3QlTT7SQ",4,0,1,0,3
"42D3biuVZiSeVPQv2XRwww",4.66666666666667,1,1,0,3
"49A69qzw4obYGKPGELH33A",5,1,2,1,1
"49rsl9QgGMHAsqy7vcXZ7A",5,2,3,3,2
"4a17OCvaJgzZzDPMJz7L3A",3,0,0,0,1
"4aajbYBbUrXKrlOO5t06Hg",3.83333333333333,0,8,1,6
"4aL1FgMljGIuDNksiLVKDw",3.73333333333333,3,18,14,15
"4AqS0E88XYkDYkR7--2EPg",4.33333333333333,2,1,0,3
"4AV_oJv8nptAoDjQSg-LyQ",3,1,0,0,1
"4D63Ui_-R1ghY8TmpPOB8g",3,0,3,2,2
"4f2arNP_-LJR_FGgOwFFKQ",4.25,2,2,0,4
"4IcHv23kWfhDhXX3tTyqwQ",5,0,1,0,1
"4IhPr3F07SLsiWbAyK_nTw",3.16666666666667,0,6,0,6
"4IyaLc7OEWu-9FSOQUPDmw",4.6,0,6,0,5
"4linxfdzgNr4C7U8gryJ-A",2,0,0,0,1
"4muLyMlTP1ijRLACBBRcaQ",2.44444444444444,10,13,7,18
"4oBaBSP4_0KpyuDBOvvwQg",5,0,0,0,2
"4PswRWKpz2fs7lcCQtJrSw",1,0,1,1,1
"4qHDTXscBB8zrz5wXaoXfw",2,0,0,0,1
"4rqK-PeJ7y2ajqoSR1GfJg",4.46666666666667,1,13,3,15
"4rvucSvCAH5ZxBVSv2Lalg",2.66666666666667,0,1,0,3
"4SL9WftOYkbA2V0xmN2YuQ",3,0,3,0,1
"4TxvU00TQLFrMIaEWDi-Hw",3.66666666666667,1,0,0,6
"4UEusklmkcQ8DsyFszkhfw",3,2,3,2,4
"4Utl9nWrSZueoEhlcVnLkQ",3,0,0,0,1
"4WtwchbAovqTuE4L1evxhw",1,2,1,0,1
"4xGE6nllhxLGLKuI4JxiLw",5,0,0,0,1
"4ybfiaJRAhKU7tEGLoCtFg",4,0,1,0,4
"4zWUt98o61aq4HSOLDxpVw",3.53488372093023,97,177,107,43
"5_UUUciImhAsI6YNh9VZLQ",5,0,0,0,1
"516zANL5QTWFPGcS1KQCWw",4.5,0,2,1,2
"55TfTtawpbYz1OqeSfDtMg",5,0,0,0,1
"58jNzn1Obq55gWfpB4_SpA",5,0,0,0,1
"58me_Jn3rs_ypWdPqgXq0g",5,0,0,0,1
"59m6T_Nlc1cFNkqqUKr8fA",3.75,5,19,5,32
"5bWDb4aEAy5lqjJkugMrrA",5,0,0,0,1
"5cWb1Ym1tGwwfFxaDkUEkA",3.33333333333333,0,0,2,3
"5dfXxhrccXNm03A-wl-2vA",4.26666666666667,7,14,9,15
"5HihVrayQ-U7Z0xfLyS_nQ",5,0,0,0,1
"5iH-StRFoquL80hsrkfoyQ",2.8,0,1,0,5
"5jFlE9Y4VKTa308Os6geOQ",5,0,1,1,1
"5KgA-ibrECtD4Y42EtXcbw",4,0,1,0,2
"5o3QDJ0XohNzfpG-bU7guw",4.66666666666667,1,3,0,3
"5pOdmdO0xB3XUtbYP9tscw",3.5,0,2,0,2
"5sHLkf2pg20Siq11xRXKpw",1,0,1,0,1
"5SS5ZujI-uojs2OXuhTg5g",3.33333333333333,1,12,4,6
"5ttpDJahMaiciVy6ndZ7nA",3.33333333333333,3,3,1,3
"5WrOiOobqAtsHvTG9PaF8Q",5,0,2,0,2
"5YMVUDRQe9bYSFadFScI5w",3.5,0,0,0,2
"5zVUkQBCE_dIljgxUywO_Q",4,0,0,0,2
"6_cDyXmu_P0yRurzBEosqA",2,1,2,2,1
"64iAH7ECe3l5Z_Albkt3Nw",3,1,0,0,2
"686n6A10siZbYHDA63yF7w",5,0,0,0,1
"69fI1xcvieZVRQtyM-c9sw",3.83333333333333,7,12,6,12
"69Q6PivlI-2ZWIqLlq5o5A",4,0,2,2,4
"6ach2cryXxF1bzRs62CttA",4,0,0,0,1
"6axUzSb8Bcs3evmjDU1eUA",5,0,0,0,1
"6AyffTN85i98D05tENPMkA",4,0,1,2,2
"6bHFlb_51XqdQmtx9foNNA",2,0,1,0,1
"6D0KGpAoNF-LvAxElCrSYw",3,0,0,0,2
"6eKLWEAfnAMP_72HShHgnQ",4,0,0,0,1
"6fnXa6lEdD_NXI2pg3AawQ",5,6,8,8,1
"6gPLoA14w1Pp_ALoQcJoTA",3.8,0,4,2,5
"6h3Ukn8vLc7Y_GjTYkI06g",5,0,2,1,1
"6h5PM9BhvhECbQ7ojgoNXQ",4.08695652173913,0,5,1,23
"6jiCkha-eL2gOhwl6k0-Ow",5,0,0,0,1
"6K9I3aU8Tmgi9qRxEFoZ_g",4.18181818181818,18,19,20,11
"6l08h9vEa0J8skgt8RjM2Q",3,2,1,1,2
"6PtmDrgdUphJjOoaJWB8TQ",3.75,0,6,1,4
"6QMm_Xo75V2YZQ8B1G0L-Q",3.66666666666667,0,0,0,3
"6Qp6zJq0CRs03juXz0fQmQ",4.8,0,0,0,5
"6QqOD0xLUpSxri1ycWOeFw",3.75,3,20,14,4
"6r4kqGK00T_7mxkS4ZmGJQ",4.25,2,4,3,4
"6R4kSvapdGx7392JCh3bIw",5,0,1,0,1
"6RioJCCwaI3PAdLsg3FjNA",4.4,0,0,0,5
"6s4e6ZImm2l2K70FsvCDKg",3.25,0,0,0,4
"6S95Byd5akYup2tuNB-raQ",4,0,0,0,1
"6UX8chdSRsTPv8AEm-7x0w",2,2,1,1,2
"7_SEn8gJb-5cUD6ceOUfjQ",4,0,2,0,3
"7-_s7myDtaHfU0n3wOUT7g",4,0,0,0,1
"7-aros2ZKLftg-zhOI3x3g",2.5,1,1,0,2
"7-KGj9HJpiG1xBQ7fxwODw",2.85714285714286,1,3,0,7
"70ZgchHDOLaTGR109j6SIA",4,0,1,0,3
"73eZuIuXVD5sif7GrIMfuQ",5,0,150,149,2
"73L8YnUoGVK5wyT0l5NKDw",4,0,0,0,1
"75Y2GmJZlzxeeFuxRvLbww",3.5,0,1,0,2
"78B3kv3YC-KYuQN2eucYXA",5,0,0,0,1
"795O0rf3MjyBWRpckaUySg",5,0,0,0,1
"7aTZtZMHDe9yFpMAHkIFcg",5,1,0,1,1
"7dXCYATrblG4pW3wRnNQeQ",2,0,3,0,1
"7Eiv2H37JP-Yaf8M9wrGjg",3.75,0,3,0,4
"7EJtGl9qfAmCGw2wVAkAow",2,0,2,0,1
"7FG-q5MFvaSyDBTfqdECcA",4.5,0,2,0,4
"7Fn2A_c7DwflDk_k1XOKYA",3,0,0,0,1
"7gz1sBdoD1jzHjogk2P2Ew",5,0,2,0,2
"7H4P71XuPBDVhriA4RIluA",4.5,0,1,0,4
"7i5xYSHtQ2IwP6DR9VzNvw",4.4,0,2,0,5
"7JjYzwRAsTnu2-q-VukQNQ",3.5,0,0,0,2
"7op0fmvXG6XydXF_d7kkKQ",4.4,0,2,2,5
"7opS3fE5T1qs31pt9tR6Ug",4,1,0,2,3
"7pAYRMocg2BjpyLftP2ZPA",4,0,1,0,1
"7pCE0FpuFWtC8o9oDBr-JQ",1,0,0,0,1
"7PrE7o_AGp68uXQafeZg2A",3.2,1,4,2,5
"7PUbEVAd2pATTg2Ml5ukDA",5,0,4,0,3
"7RXtu3n5OfNsgmRT3b2x7Q",3.78260869565217,5,12,3,23
"7uiMBAOvdbPvwGowkNPQ6g",5,0,0,0,1
"7uN3jj71sLZG-nf36gU__A",1,0,1,0,1
"7WI0-mI-5glr-AGNM5P6mQ",5,0,2,1,1
"7WRv4z_Mlh6V35iCQ3q54w",4.5,0,2,0,2
"7wt-DZ6VSSxjRb8Yf8eQ1Q",3.75,0,3,0,4
"7XEjgOcIZMQCAlfeDXyqnQ",4,0,4,0,4
"7XVPc5UeRrxMyyyNQhjtVQ",3,0,4,0,5
"7ygqEx8-9BUo0mojiuydqg",3.66666666666667,1,1,2,6
"7YRMH7JWdikxcnbJo7OICw",5,0,1,0,1
"7yv0YRX1ZFXeanyI1prIkw",3,0,2,2,1
"7zxheaKDjuSCeM8IwU0D9Q",5,0,3,0,2
"8_ztfjt9_RsKS-cQ9KlqKg",3.68181818181818,25,73,51,44
"8-1RGbe_i2ThH9b7Lbdyhg",4.4,0,3,1,10
"8-InERGLhHGjX3DZPFXMqg",4.04878048780488,10,29,6,41
"82i6il42oVYLFQeoOqwucQ",4,0,1,1,1
"83jzZLFAfrCUwZghWgcz4g",3,1,0,0,2
"84hTxQmds39Lr7ulyGjcyQ",4,0,1,0,4
"89H9-Ius_EWMhAQ4zZuvOw",4.4,1,2,1,5
"8AGNvxPnzF7h35TxwZ7mKA",4.66666666666667,1,1,1,3
"8Bb_OXPzXn_jlWye4z8k6g",4.5,1,6,1,10
"8bESR1X2cLu-u2FxtKeFmw",1,0,0,0,1
"8CuRrl5gZ4Ylv_3-kkFv8g",4.25,2,4,3,4
"8d30IiVbirN3NeCBtLXMkA",4,0,0,0,1
"8dZI6Tc66vLkzDlMWAwrpg",5,0,1,0,1
"8E-XbiI-fHVMquzP3anLkQ",5,0,0,0,1
